2023-01-02,55500.0,56100.0,55200.0,55500.0,54363.41796875,10031448
2023-01-03,55400.0,56000.0,54500.0,55400.0,54265.47265625,13547030
2023-01-04,55700.0,58000.0,55600.0,57800.0,56616.3203125,20188071
2023-01-05,58200.0,58800.0,57600.0,58200.0,57008.12890625,15682826
2023-01-06,58300.0,59400.0,57900.0,59000.0,57791.74609375,17334989
2023-01-09,59700.0,60700.0,59600.0,60700.0,59456.93359375,18640107
2023-01-10,60200.0,61100.0,59900.0,60400.0,59163.078125,14859797
2023-01-11,61000.0,61200.0,60300.0,60500.0,59261.02734375,12310751
2023-01-12,61100.0,61200.0,59900.0,60500.0,59261.02734375,16102561
2023-01-13,60500.0,61200.0,60400.0,60800.0,59554.88671875,12510328
2023-01-16,61300.0,61600.0,60800.0,61100.0,59848.7421875,10039972
2023-01-17,61200.0,61500.0,60600.0,61000.0,59750.79296875,9831456
2023-01-18,60700.0,61000.0,59900.0,60400.0,59163.078125,11584041
2023-01-19,60500.0,61500.0,60400.0,61500.0,60240.546875,12808490
2023-01-20,62100.0,62300.0,61100.0,61800.0,60534.40625,9646327
2023-01-25,63500.0,63700.0,63000.0,63300.0,62003.6875,39217
2023-01-26,63800.0,63900.0,63300.0,63800.0,62493.4453125,54188
2023-01-27,64400.0,65000.0,63900.0,64600.0,63277.0625,44282
2023-01-30,64900.0,64900.0,63100.0,63300.0,62003.6875,59628
2023-01-31,63500.0,63700.0,61000.0,61400.0,60142.59765625,163847
2023-02-01,62600.0,62700.0,61000.0,61000.0,59750.79296875,98585
2023-02-02,63200.0,63900.0,62600.0,63500.0,62199.58984375,65992
2023-02-03,63900.0,64000.0,63000.0,63500.0,62199.58984375,47567
2023-02-06,62800.0,63000.0,61600.0,61600.0,60338.5,144104
2023-02-07,61900.0,62500.0,61600.0,62000.0,60730.3125,32873
2023-02-08,62800.0,63300.0,62400.0,63100.0,61807.78125,42558
2023-02-09,63000.0,63300.0,62300.0,63300.0,62003.6875,48035
